league,season,team,90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
ITA-Serie A,2324,vs Salernitana,38,79,589,197,33.4,15.5,5.18,0.12,0.35,10,10,74.4,66.8,0.12,4.6,2.2
ITA-Serie A,2324,vs Sassuolo,38,71,537,164,30.5,14.13,4.32,0.12,0.38,8,11,61.6,53.1,0.1,9.4,9.9
ITA-Serie A,2324,vs Torino,38,36,414,136,32.9,10.89,3.58,0.07,0.21,7,7,37.4,31.9,0.08,-1.4,-2.9
ITA-Serie A,2324,vs Udinese,38,52,488,148,30.3,12.84,3.89,0.09,0.29,9,9,49.1,42.2,0.09,2.9,0.8
ITA-Serie A,2425,vs Atalanta,38,35,403,145,36.0,10.61,3.82,0.08,0.23,2,2,38.6,37.1,0.1,-3.6,-4.1
ITA-Serie A,2425,vs Bologna,38,45,317,103,32.5,8.34,2.71,0.14,0.42,2,3,36.7,34.3,0.11,8.3,8.7
ITA-Serie A,2425,vs Cagliari,38,56,497,147,29.6,13.08,3.87,0.1,0.34,6,6,55.3,51.1,0.11,0.7,-1.1
ITA-Serie A,2425,vs Como,38,52,376,136,36.2,9.89,3.58,0.12,0.33,7,7,43.0,37.6,0.1,9.0,7.4
ITA-Serie A,2425,vs Empoli,38,58,513,156,30.4,13.5,4.11,0.11,0.37,1,3,50.1,47.7,0.09,7.9,9.3
ITA-Serie A,2425,vs Fiorentina,38,40,440,145,33.0,11.58,3.82,0.09,0.27,1,3,42.8,40.4,0.09,-2.8,-1.4
ITA-Serie A,2425,vs Genoa,38,46,472,150,31.8,12.42,3.95,0.08,0.27,6,8,47.2,41.1,0.09,-1.2,-1.1
ITA-Serie A,2425,vs Hellas Verona,38,65,501,169,33.7,13.18,4.45,0.13,0.37,2,4,53.4,50.3,0.1,11.6,12.7
ITA-Serie A,2425,vs Inter,38,34,395,126,31.9,10.39,3.32,0.08,0.25,3,4,36.4,33.1,0.09,-2.4,-2.1
ITA-Serie A,2425,vs Juventus,38,35,394,114,28.9,10.37,3.0,0.08,0.26,5,5,34.0,30.1,0.08,1.0,-0.1
ITA-Serie A,2425,vs Lazio,38,47,380,115,30.3,10.0,3.03,0.11,0.37,4,4,37.7,34.7,0.09,9.3,8.3
ITA-Serie A,2425,vs Lecce,38,55,521,172,33.0,13.71,4.53,0.09,0.27,8,10,57.1,49.6,0.1,-2.1,-2.6
ITA-Serie A,2425,vs Milan,38,40,429,140,32.6,11.29,3.68,0.09,0.28,1,2,41.3,39.7,0.1,-1.3,-0.7
ITA-Serie A,2425,vs Monza,38,66,563,179,31.8,14.82,4.71,0.11,0.36,2,4,54.7,51.6,0.09,11.3,12.4
ITA-Serie A,2425,vs Napoli,38,25,360,93,25.8,9.47,2.45,0.07,0.26,1,4,29.6,26.3,0.07,-4.6,-2.3
ITA-Serie A,2425,vs Parma,38,56,537,153,28.5,14.13,4.03,0.09,0.33,5,5,56.4,52.6,0.1,-0.4,-1.6
ITA-Serie A,2425,vs Roma,38,34,437,147,33.6,11.5,3.87,0.07,0.2,4,4,40.9,37.7,0.09,-6.9,-7.7
ITA-Serie A,2425,vs Torino,38,43,522,173,33.1,13.74,4.55,0.08,0.23,3,7,50.4,44.9,0.09,-7.4,-4.9
ITA-Serie A,2425,vs Udinese,38,51,496,157,31.7,13.05,4.13,0.09,0.28,7,8,52.6,46.5,0.1,-1.6,-2.5
ITA-Serie A,2425,vs Venezia,38,53,556,177,31.8,14.63,4.66,0.08,0.24,10,11,57.5,48.9,0.09,-4.5,-5.9
ITA-Serie A,2526,vs Atalanta,3,2,30,8,26.7,10.0,2.67,0.07,0.25,0,0,1.7,1.7,0.06,0.3,0.3
ITA-Serie A,2526,vs Bologna,3,2,41,9,22.0,13.67,3.0,0.05,0.22,0,0,3.2,3.2,0.08,-1.2,-1.2
ITA-Serie A,2526,vs Cagliari,3,2,41,12,29.3,13.67,4.0,0.05,0.17,0,0,4.4,4.4,0.11,-2.4,-2.4
ITA-Serie A,2526,vs Como,3,2,32,7,21.9,10.67,2.33,0.06,0.29,0,0,3.6,3.6,0.13,-1.6,-1.6
ITA-Serie A,2526,vs Cremonese,3,3,52,19,36.5,17.33,6.33,0.04,0.11,1,1,4.6,3.8,0.08,-1.6,-1.8
ITA-Serie A,2526,vs Fiorentina,3,4,34,16,47.1,11.33,5.33,0.09,0.19,1,1,4.9,4.6,0.14,-0.9,-1.6
ITA-Serie A,2526,vs Genoa,3,2,33,7,21.2,11.0,2.33,0.06,0.29,0,0,3.1,3.1,0.11,-1.1,-1.1
ITA-Serie A,2526,vs Hellas Verona,3,5,42,12,28.6,14.0,4.0,0.12,0.42,0,0,5.1,5.1,0.12,-0.1,-0.1
ITA-Serie A,2526,vs Inter,3,6,33,12,36.4,11.0,4.0,0.15,0.42,1,1,2.7,2.0,0.06,3.3,3.0
ITA-Serie A,2526,vs Juventus,3,3,36,6,16.7,12.0,2.0,0.08,0.5,0,0,2.1,2.1,0.06,0.9,0.9
ITA-Serie A,2526,vs Lazio,3,3,41,13,31.7,13.67,4.33,0.07,0.23,0,0,3.3,3.3,0.08,-0.3,-0.3
ITA-Serie A,2526,vs Lecce,3,6,38,16,42.1,12.67,5.33,0.16,0.38,0,0,4.5,4.5,0.12,1.5,1.5
ITA-Serie A,2526,vs Milan,3,2,16,5,31.3,5.33,1.67,0.13,0.4,0,0,0.7,0.7,0.04,1.3,1.3
ITA-Serie A,2526,vs Napoli,3,1,36,6,16.7,12.0,2.0,0.03,0.17,0,0,2.4,2.4,0.07,-1.4,-1.4
ITA-Serie A,2526,vs Parma,3,5,48,16,33.3,16.0,5.33,0.1,0.31,0,0,4.2,4.2,0.09,0.8,0.8
ITA-Serie A,2526,vs Pisa,3,3,44,14,31.8,14.67,4.67,0.07,0.21,0,0,3.7,3.7,0.09,-0.7,-0.7
ITA-Serie A,2526,vs Roma,3,1,25,9,36.0,8.33,3.0,0.04,0.11,0,0,1.7,1.7,0.07,-0.7,-0.7
ITA-Serie A,2526,vs Sassuolo,3,5,36,12,33.3,12.0,4.0,0.11,0.33,1,1,4.7,3.9,0.12,0.3,0.1
ITA-Serie A,2526,vs Torino,3,5,58,17,29.3,19.33,5.67,0.09,0.29,0,0,4.4,4.4,0.08,0.6,0.6
ITA-Serie A,2526,vs Udinese,3,2,37,8,21.6,12.33,2.67,0.05,0.25,0,0,2.9,2.9,0.08,-0.9,-0.9
