index,season,matchday,team1,team2
393,2223,2,Udinese,Salernitana
394,2223,2,Atalanta,Milan
395,2223,2,Bologna,Verona
396,2223,2,Empoli,Fiorentina
397,2223,2,Napoli,Monza
398,2223,2,Roma,Cremonese
399,2223,2,Sampdoria,Juventus
400,2223,3,Lazio,Inter
401,2223,3,Monza,Udinese
402,2223,3,Cremonese,Torino
403,2223,3,Juventus,Roma
404,2223,3,Milan,Bologna
405,2223,3,Spezia,Sassuolo
406,2223,3,Fiorentina,Napoli
407,2223,3,Verona,Atalanta
408,2223,3,Lecce,Empoli
409,2223,3,Salernitana,Sampdoria
410,2223,4,Inter,Cremonese
411,2223,4,Roma,Monza
412,2223,4,Sassuolo,Milan
413,2223,4,Empoli,Verona
414,2223,4,Juventus,Spezia
415,2223,4,Napoli,Lecce
416,2223,4,Sampdoria,Lazio
417,2223,4,Udinese,Fiorentina
418,2223,4,Atalanta,Torino
419,2223,4,Bologna,Salernitana
420,2223,5,Fiorentina,Juventus
421,2223,5,Lazio,Napoli
422,2223,5,Milan,Inter
423,2223,5,Cremonese,Sassuolo
424,2223,5,Verona,Sampdoria
425,2223,5,Spezia,Bologna
426,2223,5,Udinese,Roma
427,2223,5,Monza,Atalanta
428,2223,5,Salernitana,Empoli
429,2223,5,Torino,Lecce
430,2223,6,Inter,Torino
431,2223,6,Napoli,Spezia
432,2223,6,Sampdoria,Milan
433,2223,6,Atalanta,Cremonese
434,2223,6,Bologna,Fiorentina
435,2223,6,Juventus,Salernitana
436,2223,6,Lazio,Verona
437,2223,6,Lecce,Monza
438,2223,6,Sassuolo,Udinese
439,2223,6,Empoli,Roma
440,2223,7,Salernitana,Lecce
441,2223,7,Bologna,Empoli
442,2223,7,Spezia,Sampdoria
443,2223,7,Torino,Sassuolo
444,2223,7,Cremonese,Lazio
445,2223,7,Fiorentina,Verona
446,2223,7,Milan,Napoli
447,2223,7,Monza,Juventus
448,2223,7,Roma,Atalanta
449,2223,7,Udinese,Inter
450,2223,8,Empoli,Milan
451,2223,8,Inter,Roma
452,2223,8,Napoli,Torino
453,2223,8,Atalanta,Fiorentina
454,2223,8,Juventus,Bologna
455,2223,8,Lazio,Spezia
456,2223,8,Lecce,Cremonese
457,2223,8,Sampdoria,Monza
458,2223,8,Sassuolo,Salernitana
459,2223,8,Verona,Udinese
460,2223,9,Bologna,Sampdoria
461,2223,9,Milan,Juventus
462,2223,9,Sassuolo,Inter
463,2223,9,Cremonese,Napoli
464,2223,9,Monza,Spezia
465,2223,9,Roma,Lecce
466,2223,9,Salernitana,Verona
467,2223,9,Torino,Empoli
468,2223,9,Udinese,Atalanta
469,2223,9,Fiorentina,Lazio
470,2223,10,Atalanta,Sassuolo
471,2223,10,Empoli,Monza
472,2223,10,Torino,Juventus
473,2223,10,Verona,Milan
474,2223,10,Inter,Salernitana
475,2223,10,Lazio,Udinese
476,2223,10,Napoli,Bologna
477,2223,10,Spezia,Cremonese
478,2223,10,Lecce,Fiorentina
479,2223,10,Sampdoria,Roma
480,2223,11,Juventus,Empoli
481,2223,11,Fiorentina,Inter
482,2223,11,Milan,Monza
483,2223,11,Salernitana,Spezia
484,2223,11,Atalanta,Lazio
485,2223,11,Bologna,Lecce
486,2223,11,Roma,Napoli
487,2223,11,Udinese,Torino
488,2223,11,Cremonese,Sampdoria
489,2223,11,Sassuolo,Verona
490,2223,12,Inter,Sampdoria
491,2223,12,Lecce,Juventus
492,2223,12,Napoli,Sassuolo
493,2223,12,Cremonese,Udinese
494,2223,12,Empoli,Atalanta
495,2223,12,Lazio,Salernitana
496,2223,12,Spezia,Fiorentina
497,2223,12,Torino,Milan
498,2223,12,Verona,Roma
499,2223,12,Monza,Bologna
500,2223,13,Udinese,Lecce
501,2223,13,Atalanta,Napoli
502,2223,13,Empoli,Sassuolo
503,2223,13,Milan,Spezia
504,2223,13,Salernitana,Cremonese
505,2223,13,Bologna,Torino
506,2223,13,Juventus,Inter
507,2223,13,Monza,Verona
508,2223,13,Roma,Lazio
509,2223,13,Sampdoria,Fiorentina
510,2223,14,Cremonese,Milan
511,2223,14,Napoli,Empoli
512,2223,14,Spezia,Udinese
513,2223,14,Fiorentina,Salernitana
514,2223,14,Inter,Bologna
515,2223,14,Lecce,Atalanta
516,2223,14,Sassuolo,Roma
517,2223,14,Torino,Sampdoria
518,2223,14,Verona,Juventus
519,2223,14,Lazio,Monza
520,2223,15,Empoli,Cremonese
521,2223,15,Bologna,Sassuolo
522,2223,15,Napoli,Udinese
523,2223,15,Sampdoria,Lecce
524,2223,15,Atalanta,Inter
525,2223,15,Verona,Spezia
526,2223,15,Juventus,Lazio
527,2223,15,Milan,Fiorentina
528,2223,15,Monza,Salernitana
529,2223,15,Roma,Torino
530,2223,16,Cremonese,Juventus
531,2223,16,Fiorentina,Monza
532,2223,16,Inter,Napoli
533,2223,16,Lecce,Lazio
534,2223,16,Roma,Bologna
535,2223,16,Salernitana,Milan
536,2223,16,Sassuolo,Sampdoria
537,2223,16,Spezia,Atalanta
538,2223,16,Torino,Verona
539,2223,16,Udinese,Empoli
540,2223,17,Fiorentina,Sassuolo
541,2223,17,Juventus,Udinese
542,2223,17,Monza,Inter
543,2223,17,Lazio,Empoli
544,2223,17,Milan,Roma
545,2223,17,Salernitana,Torino
546,2223,17,Sampdoria,Napoli
547,2223,17,Spezia,Lecce
548,2223,17,Bologna,Atalanta
549,2223,17,Verona,Cremonese
550,2223,18,Napoli,Juventus
551,2223,18,Cremonese,Monza
552,2223,18,Inter,Verona
553,2223,18,Lecce,Milan
554,2223,18,Atalanta,Salernitana
555,2223,18,Roma,Fiorentina
556,2223,18,Sassuolo,Lazio
557,2223,18,Torino,Spezia
558,2223,18,Udinese,Bologna
