league,season,team,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
ITA-Serie A,2324,Fiorentina,Oliver Christensen,DEN,GK,24,1999,4,4,360,9,2.25,19,10,63.2,1,1,2,0,0.0,2,2,0,0
ITA-Serie A,2324,Fiorentina,Pietro Terracciano,ITA,GK,33,1990,33,33,2970,35,1.06,126,90,77.0,15,8,10,8,24.2,7,6,1,0
ITA-Serie A,2324,Fiorentina,Tommaso Martinelli,ITA,GK,17,2006,1,1,90,2,2.0,3,1,33.3,1,0,0,0,0.0,0,0,0,0
ITA-Serie A,2324,Frosinone,Michele Cerofolini,ITA,GK,24,1999,8,7,675,11,1.47,28,18,60.7,2,2,3,3,42.9,1,0,0,1
ITA-Serie A,2324,Frosinone,Stefano Turati,ITA,GK,21,2001,31,31,2745,58,1.9,152,94,65.1,6,9,16,4,12.9,7,5,1,1
ITA-Serie A,2324,Genoa,Daniele Sommariva,ITA,GK,26,1997,1,0,5,0,0.0,0,0,,0,0,0,1,,0,0,0,0
ITA-Serie A,2324,Genoa,Josep Martinez,ESP,GK,25,1998,36,36,3239,43,1.19,130,87,69.2,11,13,12,8,22.2,4,3,1,0
ITA-Serie A,2324,Genoa,Nicola Leali,ITA,GK,30,1993,3,2,176,2,1.02,9,7,77.8,1,0,1,0,0.0,0,0,0,0
ITA-Serie A,2324,Hellas Verona,Lorenzo Montipò,ITA,GK,27,1996,37,37,3330,49,1.32,153,105,69.3,9,10,18,8,21.6,2,2,0,0
ITA-Serie A,2324,Hellas Verona,Simone Perilli,ITA,GK,28,1995,1,1,90,2,2.0,10,8,80.0,0,1,0,0,0.0,0,0,0,0
ITA-Serie A,2324,Inter,Emil Audero,IDN,GK,26,1997,4,4,337,3,0.8,11,8,72.7,2,1,1,2,50.0,0,0,0,0
ITA-Serie A,2324,Inter,Raffaele Di Gennaro,ITA,GK,29,1993,1,0,23,0,0.0,4,4,100.0,0,0,0,0,,0,0,0,0
ITA-Serie A,2324,Inter,Yann Sommer,SUI,GK,34,1988,34,34,3060,19,0.56,98,78,82.7,27,6,1,19,55.9,4,2,1,1
ITA-Serie A,2324,Juventus,Carlo Pinsoglio,ITA,GK,33,1990,1,0,45,0,0.0,3,3,100.0,0,0,0,1,,0,0,0,0
ITA-Serie A,2324,Juventus,Mattia Perin,ITA,GK,30,1992,3,3,225,1,0.4,5,4,80.0,2,1,0,1,33.3,0,0,0,0
ITA-Serie A,2324,Juventus,Wojciech Szczęsny,POL,GK,33,1990,35,35,3150,30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0
ITA-Serie A,2324,Lazio,Christos Mandas,GRE,GK,21,2001,9,8,721,6,0.75,29,23,79.3,6,1,1,4,50.0,0,0,0,0
ITA-Serie A,2324,Lazio,Ivan Provedel,ITA,GK,29,1994,30,30,2699,33,1.1,119,86,73.9,12,6,12,9,30.0,3,2,0,1
ITA-Serie A,2324,Lecce,Wladimiro Falcone,ITA,GK,28,1995,38,38,3420,54,1.42,173,119,71.7,8,14,16,7,18.4,6,5,1,0
ITA-Serie A,2324,Milan,Antonio Mirante,ITA,GK,40,1983,2,2,177,3,1.53,8,5,62.5,0,1,1,0,0.0,0,0,0,0
ITA-Serie A,2324,Milan,Lapo Nava,ITA,GK,19,2004,1,0,3,1,30.0,2,1,50.0,0,0,0,0,,0,0,0,0
ITA-Serie A,2324,Milan,Marco Sportiello,ITA,GK,31,1992,7,7,630,11,1.57,33,23,69.7,3,3,1,2,28.6,1,1,0,0
ITA-Serie A,2324,Milan,Mike Maignan,FRA,GK,28,1995,29,29,2609,34,1.17,120,86,77.5,19,5,5,10,34.5,7,7,0,0
ITA-Serie A,2324,Monza,Alessandro Sorrentino,ITA,GK,21,2002,7,5,548,16,2.63,32,16,62.5,0,1,4,0,0.0,4,4,0,0
ITA-Serie A,2324,Monza,Michele Di Gregorio,ITA,GK,26,1997,33,33,2872,35,1.1,159,122,79.9,11,11,11,12,36.4,5,3,2,0
ITA-Serie A,2324,Napoli,Alex Meret,ITA,GK,26,1997,31,31,2773,40,1.3,104,62,63.5,10,13,8,5,16.1,4,2,2,0
ITA-Serie A,2324,Napoli,Nikita Contini Baranovsky,ITA,GK,27,1996,1,0,17,0,0.0,0,0,,0,0,0,1,,0,0,0,0
ITA-Serie A,2324,Napoli,Pierluigi Gollini,ITA,GK,28,1995,7,7,630,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0
ITA-Serie A,2324,Roma,Mile Svilar,SRB,GK,23,1999,15,15,1350,19,1.27,77,58,76.6,7,4,4,5,33.3,2,1,1,0
ITA-Serie A,2324,Roma,Rui Patrício,POR,GK,35,1988,23,23,2070,27,1.17,74,49,66.2,11,5,7,6,26.1,3,2,0,1
ITA-Serie A,2324,Salernitana,Benoît Costil,FRA,GK,36,1987,13,13,1170,29,2.23,66,38,60.6,2,3,8,1,7.7,3,3,0,0
ITA-Serie A,2324,Salernitana,Guillermo Ochoa,MEX,GK,38,1985,21,21,1890,44,2.1,115,72,67.8,0,6,15,1,4.8,7,7,0,0
ITA-Serie A,2324,Salernitana,Vincenzo Fiorillo,ITA,GK,33,1990,4,4,360,8,2.0,26,18,69.2,0,2,2,0,0.0,0,0,0,0
ITA-Serie A,2324,Sassuolo,Alessio Cragno,ITA,GK,29,1994,3,3,270,7,2.33,14,8,57.1,1,1,1,0,0.0,1,1,0,0
ITA-Serie A,2324,Sassuolo,Andrea Consigli,ITA,GK,36,1987,35,35,3150,68,1.94,159,93,61.6,6,8,21,3,8.6,10,7,1,2
ITA-Serie A,2324,Torino,Luca Gemello,ITA,GK,23,2000,2,2,180,5,2.5,9,4,55.6,0,0,2,0,0.0,1,1,0,0
ITA-Serie A,2324,Torino,Vanja Milinković-Savić,SRB,GK,26,1997,36,36,3240,31,0.86,134,103,81.3,13,14,9,18,50.0,6,6,0,0
ITA-Serie A,2324,Udinese,Maduka Okoye,NGA,GK,23,1999,21,21,1890,25,1.19,89,65,75.3,5,8,8,5,23.8,3,3,0,0
ITA-Serie A,2324,Udinese,Marco Silvestri,ITA,GK,32,1991,17,17,1530,28,1.65,68,40,67.6,1,11,5,4,23.5,6,6,0,0
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30,1994,1,1,90,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0
