league,season,team,player,nationality,position,age,birth_year,minutes_90s,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
ITA-Serie A,2324,Napoli,Alex Meret,ITA,GK,26,1997,30.8,40,2,1,5,0,38.0,0.33,-2.0,-0.07,56,174,32.2,774,120,18.5,27.9,137,22.6,29.5,334,9,2.7,29,0.94,15.4
ITA-Serie A,2324,Napoli,Nikita Contini Baranovsky,ITA,GK,27,1996,0.2,0,0,0,0,0,0.0,,0.0,0.0,0,0,,3,1,0.0,17.0,1,0.0,15.0,1,0,0.0,3,15.88,37.0
ITA-Serie A,2324,Napoli,Pierluigi Gollini,ITA,GK,28,1995,7.0,8,0,0,1,0,8.2,0.34,0.2,0.02,27,68,39.7,213,28,22.1,29.5,53,39.6,36.3,82,5,6.1,9,1.29,16.2
ITA-Serie A,2324,Roma,Mile Svilar,SRB,GK,23,1999,15.0,19,1,0,3,1,20.2,0.24,2.2,0.14,44,116,37.9,516,77,15.9,25.3,89,38.2,36.2,208,16,7.7,7,0.47,12.0
ITA-Serie A,2324,Roma,Rui Patrício,POR,GK,35,1988,23.0,27,2,0,2,2,23.4,0.29,-1.6,-0.07,90,211,42.7,492,86,31.5,31.0,137,40.9,34.9,309,16,5.2,8,0.35,11.7
ITA-Serie A,2324,Salernitana,Benoît Costil,FRA,GK,36,1987,13.0,29,3,0,2,1,23.6,0.32,-4.4,-0.34,71,228,31.1,323,45,48.0,37.0,104,70.2,51.1,212,2,0.9,19,1.46,18.2
ITA-Serie A,2324,Salernitana,Guillermo Ochoa,MEX,GK,38,1985,21.0,44,7,0,3,1,37.2,0.27,-5.8,-0.28,85,323,26.3,479,73,46.3,37.5,171,59.1,44.4,342,9,2.6,11,0.52,13.6
ITA-Serie A,2324,Salernitana,Vincenzo Fiorillo,ITA,GK,33,1990,4.0,8,0,0,4,0,7.3,0.28,-0.7,-0.18,27,96,28.1,72,9,68.1,44.9,54,87.0,56.6,77,4,5.2,1,0.25,7.6
ITA-Serie A,2324,Sassuolo,Alessio Cragno,ITA,GK,29,1994,3.0,7,1,1,1,1,5.1,0.3,-0.9,-0.28,17,45,37.8,78,11,50.0,37.8,22,27.3,30.5,37,3,8.1,8,2.67,18.6
ITA-Serie A,2324,Sassuolo,Andrea Consigli,ITA,GK,36,1987,35.0,68,7,1,7,3,51.7,0.28,-13.3,-0.38,172,540,31.9,982,143,42.3,36.9,252,49.6,41.2,545,23,4.2,22,0.63,11.8
ITA-Serie A,2324,Torino,Luca Gemello,ITA,GK,23,2000,2.0,5,1,0,0,0,3.6,0.31,-1.4,-0.72,10,29,34.5,104,8,26.9,31.1,12,8.3,19.7,24,3,12.5,3,1.5,12.0
ITA-Serie A,2324,Torino,Vanja Milinković-Savić,SRB,GK,26,1997,36.0,31,6,0,4,0,33.8,0.21,2.8,0.08,264,783,33.7,1288,171,44.8,38.3,239,86.2,66.6,407,38,9.3,37,1.03,13.6
ITA-Serie A,2324,Udinese,Maduka Okoye,NGA,GK,23,1999,21.0,25,3,2,3,1,23.9,0.24,-0.1,0.0,99,263,37.6,286,45,55.9,41.7,161,64.0,49.0,365,7,1.9,2,0.1,8.7
ITA-Serie A,2324,Udinese,Marco Silvestri,ITA,GK,32,1991,17.0,28,6,0,2,0,25.7,0.29,-2.3,-0.14,57,168,33.9,345,68,33.6,32.3,105,49.5,42.1,282,5,1.8,7,0.41,13.1
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30,1994,1.0,0,0,0,0,0,0.7,0.19,0.7,0.74,4,20,20.0,19,4,36.8,33.1,14,92.9,56.9,15,0,0.0,1,1.0,17.5
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24,2000,34.0,34,2,0,4,2,36.1,0.28,4.1,0.12,121,374,32.4,878,177,28.2,32.3,201,62.7,48.2,319,21,6.6,45,1.32,14.5
