league,season,team,90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
ITA-Serie A,2223,Roma,38,50,488,155,31.8,12.84,4.08,0.09,0.28,7,10,57.7,50.2,0.11,-7.7,-7.2
ITA-Serie A,2223,Salernitana,38,46,381,115,30.2,10.03,3.03,0.12,0.38,2,2,36.7,35.2,0.09,9.3,8.8
ITA-Serie A,2223,Sampdoria,38,23,376,114,30.3,9.89,3.0,0.06,0.19,1,2,34.1,32.5,0.09,-11.1,-10.5
ITA-Serie A,2223,Sassuolo,38,46,477,161,33.8,12.55,4.24,0.08,0.23,9,10,51.6,43.9,0.09,-5.6,-6.9
ITA-Serie A,2223,Spezia,38,29,419,120,28.6,11.03,3.16,0.06,0.21,4,4,41.5,38.5,0.09,-12.5,-13.5
ITA-Serie A,2223,Torino,38,41,444,146,32.9,11.68,3.84,0.09,0.27,2,2,41.8,40.2,0.09,-0.8,-1.2
ITA-Serie A,2223,Udinese,38,46,503,145,28.8,13.24,3.82,0.09,0.31,1,2,46.9,45.4,0.09,-0.9,-0.4
ITA-Serie A,2324,Atalanta,38,72,539,197,36.5,14.18,5.18,0.12,0.34,5,5,57.8,53.9,0.1,14.2,13.1
ITA-Serie A,2324,Bologna,38,52,472,159,33.7,12.42,4.18,0.1,0.3,4,5,47.9,44.0,0.1,4.1,4.0
ITA-Serie A,2324,Cagliari,38,41,442,127,28.7,11.63,3.34,0.08,0.29,4,6,42.9,38.4,0.09,-1.9,-1.4
ITA-Serie A,2324,Empoli,38,26,413,112,27.1,10.87,2.95,0.05,0.19,5,5,36.2,32.4,0.08,-10.2,-11.4
ITA-Serie A,2324,Fiorentina,38,60,515,171,33.2,13.55,4.5,0.11,0.33,4,8,51.7,45.4,0.09,8.3,10.6
ITA-Serie A,2324,Frosinone,38,44,460,147,32.0,12.11,3.87,0.08,0.24,8,10,45.8,37.9,0.08,-1.8,-1.9
ITA-Serie A,2324,Genoa,38,43,397,119,30.0,10.45,3.13,0.1,0.32,5,6,35.7,31.0,0.08,7.3,7.0
ITA-Serie A,2324,Hellas Verona,38,38,435,146,33.6,11.45,3.84,0.08,0.24,3,7,38.0,32.4,0.08,0.0,2.6
ITA-Serie A,2324,Inter,38,87,580,196,33.8,15.26,5.16,0.13,0.38,13,14,78.2,67.4,0.12,8.8,6.6
ITA-Serie A,2324,Juventus,38,52,531,146,27.5,13.97,3.84,0.09,0.34,3,5,54.6,50.6,0.1,-2.6,-1.6
ITA-Serie A,2324,Lazio,38,46,436,135,31.0,11.47,3.55,0.1,0.31,4,4,46.5,43.4,0.1,-0.5,-1.4
ITA-Serie A,2324,Lecce,38,30,503,147,29.2,13.24,3.87,0.05,0.18,3,5,43.1,39.2,0.08,-13.1,-12.2
ITA-Serie A,2324,Milan,38,76,554,202,36.5,14.58,5.32,0.13,0.35,6,8,66.2,60.0,0.11,9.8,10.0
ITA-Serie A,2324,Monza,38,38,451,123,27.3,11.87,3.24,0.08,0.28,4,5,39.5,35.9,0.08,-1.5,-1.9
ITA-Serie A,2324,Napoli,38,54,638,196,30.7,16.79,5.16,0.08,0.24,6,10,61.4,53.3,0.09,-7.4,-5.3
ITA-Serie A,2324,Roma,38,64,464,142,30.6,12.21,3.74,0.11,0.37,11,12,51.4,42.3,0.09,12.6,10.7
ITA-Serie A,2324,Salernitana,38,32,398,118,29.6,10.47,3.11,0.08,0.25,2,2,30.3,28.7,0.07,1.7,1.3
ITA-Serie A,2324,Sassuolo,38,42,453,144,31.8,11.92,3.79,0.08,0.24,7,8,39.8,33.8,0.08,2.2,1.2
ITA-Serie A,2324,Torino,38,35,432,121,28.0,11.37,3.18,0.08,0.27,2,2,37.7,36.1,0.09,-2.7,-3.1
ITA-Serie A,2324,Udinese,38,36,457,134,29.3,12.03,3.53,0.07,0.25,3,4,39.1,36.8,0.08,-3.1,-3.8
ITA-Serie A,2425,Atalanta,38,76,538,181,33.6,14.16,4.76,0.13,0.39,5,7,65.0,59.5,0.11,11.0,11.5
ITA-Serie A,2425,Bologna,38,56,505,166,32.9,13.29,4.37,0.1,0.3,6,7,49.3,43.8,0.09,6.7,6.2
ITA-Serie A,2425,Cagliari,38,38,421,115,27.3,11.08,3.03,0.08,0.3,3,3,42.7,40.3,0.1,-4.7,-5.3
ITA-Serie A,2425,Como,38,44,519,176,33.9,13.66,4.63,0.08,0.25,0,2,45.4,43.9,0.09,-1.4,0.1
ITA-Serie A,2425,Empoli,38,31,367,107,29.2,9.66,2.82,0.08,0.27,2,3,32.5,30.1,0.08,-1.5,-1.1
ITA-Serie A,2425,Fiorentina,38,58,439,166,37.8,11.55,4.37,0.12,0.31,6,8,48.9,42.6,0.1,9.1,9.4
ITA-Serie A,2425,Genoa,38,35,383,117,30.5,10.08,3.08,0.09,0.3,0,2,37.2,35.5,0.09,-2.2,-0.5
ITA-Serie A,2425,Hellas Verona,38,31,372,95,25.5,9.79,2.5,0.08,0.31,2,2,33.8,32.3,0.09,-2.8,-3.3
ITA-Serie A,2425,Inter,38,76,565,179,31.7,14.87,4.71,0.12,0.38,8,9,66.9,60.1,0.11,9.1,7.9
ITA-Serie A,2425,Juventus,38,56,509,175,34.4,13.39,4.61,0.1,0.29,6,6,51.0,46.3,0.09,5.0,3.7
ITA-Serie A,2425,Lazio,38,60,528,185,35.0,13.89,4.87,0.1,0.29,6,7,57.2,52.0,0.1,2.8,2.0
ITA-Serie A,2425,Lecce,38,27,450,119,26.4,11.84,3.13,0.05,0.2,3,4,34.6,31.8,0.07,-7.6,-7.8
ITA-Serie A,2425,Milan,38,59,555,185,33.3,14.61,4.87,0.1,0.3,4,8,63.7,57.5,0.11,-4.7,-2.5
ITA-Serie A,2425,Monza,38,27,333,99,29.7,8.76,2.61,0.07,0.24,3,3,29.9,27.7,0.09,-2.9,-3.7
ITA-Serie A,2425,Napoli,38,56,499,150,30.1,13.13,3.95,0.1,0.35,4,5,52.9,49.1,0.1,3.1,2.9
ITA-Serie A,2425,Parma,38,43,418,140,33.5,11.0,3.68,0.09,0.26,6,7,43.1,37.6,0.09,-0.1,-0.6
ITA-Serie A,2425,Roma,38,55,514,162,31.5,13.53,4.26,0.09,0.29,8,8,53.0,46.7,0.09,2.0,0.3
ITA-Serie A,2425,Torino,38,36,383,123,32.1,10.08,3.24,0.09,0.28,2,4,34.6,31.6,0.08,1.4,2.4
ITA-Serie A,2425,Udinese,38,41,430,137,31.9,11.32,3.61,0.09,0.28,2,4,38.2,35.0,0.08,2.8,4.0
ITA-Serie A,2425,Venezia,38,31,381,120,31.5,10.03,3.16,0.07,0.23,4,5,35.8,32.0,0.09,-4.8,-5.0
ITA-Serie A,2526,Atalanta,3,6,51,17,33.3,17.0,5.67,0.12,0.35,0,0,4.8,4.8,0.1,1.2,1.2
ITA-Serie A,2526,Bologna,3,1,30,4,13.3,10.0,1.33,0.03,0.25,0,0,1.9,1.9,0.06,-0.9,-0.9
ITA-Serie A,2526,Cagliari,3,3,36,11,30.6,12.0,3.67,0.08,0.27,0,0,2.8,2.8,0.08,0.2,0.2
ITA-Serie A,2526,Como,3,3,45,12,26.7,15.0,4.0,0.07,0.25,0,0,3.8,3.8,0.09,-0.8,-0.8
ITA-Serie A,2526,Cremonese,3,5,20,10,50.0,6.67,3.33,0.2,0.4,1,1,3.2,2.4,0.15,1.8,1.6
ITA-Serie A,2526,Fiorentina,3,2,39,7,17.9,13.0,2.33,0.05,0.29,0,0,4.1,4.1,0.11,-2.1,-2.1
ITA-Serie A,2526,Genoa,3,1,27,7,25.9,9.0,2.33,0.04,0.14,0,0,3.2,3.2,0.14,-2.2,-2.2
ITA-Serie A,2526,Hellas Verona,3,1,41,16,39.0,13.67,5.33,0.02,0.06,0,0,2.9,2.9,0.07,-1.9,-1.9
ITA-Serie A,2526,Inter,3,9,54,16,29.6,18.0,5.33,0.17,0.56,0,0,4.3,4.3,0.08,4.7,4.7
ITA-Serie A,2526,Juventus,3,7,50,15,30.0,16.67,5.0,0.14,0.47,0,0,3.9,3.9,0.08,3.1,3.1
ITA-Serie A,2526,Lazio,3,4,40,10,25.0,13.33,3.33,0.1,0.4,0,0,5.1,5.1,0.13,-1.1,-1.1
ITA-Serie A,2526,Lecce,3,1,26,5,19.2,8.67,1.67,0.04,0.2,0,0,1.1,1.1,0.04,-0.1,-0.1
ITA-Serie A,2526,Milan,3,4,52,14,26.9,17.33,4.67,0.08,0.29,0,0,4.6,4.6,0.09,-0.6,-0.6
ITA-Serie A,2526,Napoli,3,6,46,17,37.0,15.33,5.67,0.11,0.29,1,1,5.5,5.2,0.12,0.5,-0.2
ITA-Serie A,2526,Parma,3,1,32,9,28.1,10.67,3.0,0.03,0.11,0,0,3.2,3.2,0.1,-2.2,-2.2
ITA-Serie A,2526,Pisa,3,0,30,7,23.3,10.0,2.33,0.0,0.0,0,0,1.7,1.7,0.06,-1.7,-1.7
ITA-Serie A,2526,Roma,3,2,46,14,30.4,15.33,4.67,0.04,0.14,0,0,3.5,3.5,0.08,-1.5,-1.5
ITA-Serie A,2526,Sassuolo,3,3,25,10,40.0,8.33,3.33,0.08,0.2,1,1,2.8,2.0,0.08,0.2,0.0
ITA-Serie A,2526,Torino,3,1,27,12,44.4,9.0,4.0,0.04,0.08,0,0,2.5,2.5,0.09,-1.5,-1.5
ITA-Serie A,2526,Udinese,3,4,36,11,30.6,12.0,3.67,0.08,0.27,1,1,2.9,2.2,0.06,1.1,0.8
