league,season,team,player,nationality,position,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles,dribbles_completed,dribbles_completed_pct,dribbles_tackled,dribbles_tackled_pct,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
ITA-Serie A,2122,Bologna,Łukasz Skorupski,POL,GK,30,1991,36.0,1349,1177,1346,3,0,0,1349,0,0,,0,,680,3570,2185,0,0,0,0,0,567,0
ITA-Serie A,2122,Cagliari,Adam Obert,SVK,"DF,MF",18,2002,3.0,143,19,84,44,18,0,143,6,4,66.7,2,33.3,79,392,145,0,1,0,5,4,77,3
ITA-Serie A,2122,Cagliari,Alberto Grassi,ITA,MF,26,1995,24.2,1331,77,355,802,185,22,1331,27,18,66.7,9,33.3,682,3341,1194,13,13,0,27,16,751,25
ITA-Serie A,2122,Cagliari,Alessandro Deiola,ITA,MF,25,1995,23.7,1028,68,300,536,205,24,1028,13,6,46.2,7,53.8,482,1828,660,12,10,1,30,11,559,51
ITA-Serie A,2122,Cagliari,Alessio Cragno,ITA,GK,27,1994,35.0,1305,1064,1295,11,0,0,1305,0,0,,0,,638,3585,2184,0,0,0,1,1,487,0
ITA-Serie A,2122,Cagliari,Andrea Carboni,ITA,DF,20,2001,24.6,1349,143,588,636,137,14,1349,10,4,40.0,6,60.0,678,3532,2171,29,27,0,14,5,765,18
ITA-Serie A,2122,Cagliari,Boris Radunović,SRB,GK,25,1996,3.0,108,102,108,0,0,0,108,0,0,,0,,62,369,216,0,0,0,0,0,40,0
ITA-Serie A,2122,Cagliari,Charalampos Lykogiannis,GRE,"DF,FW",27,1993,20.2,1003,89,364,386,269,18,1003,20,8,40.0,12,60.0,409,2063,973,28,22,3,34,9,487,57
ITA-Serie A,2122,Cagliari,Christian Oliva,URU,MF,25,1996,0.5,33,2,10,19,5,0,33,0,0,,0,,22,133,77,2,1,0,0,0,20,0
ITA-Serie A,2122,Cagliari,Christos Kourfalidis,GRE,"MF,FW",18,2002,0.2,16,1,1,8,7,1,16,0,0,,0,,6,17,11,0,1,0,1,0,6,2
ITA-Serie A,2122,Cagliari,Dalbert Henrique,BRA,"DF,MF",27,1993,23.1,1110,48,250,508,363,21,1110,29,10,34.5,19,65.5,487,2352,1114,33,30,4,38,19,525,96
