league,season,team,player,nationality,position,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors
ITA-Serie A,2122,Fiorentina,Gaetano Castrovilli,ITA,MF,24,1997,15.5,25,17,15,6,4,12,23,52.2,11,18,4,14,11,6,0
ITA-Serie A,2122,Fiorentina,Giacomo Bonaventura,ITA,MF,31,1989,25.2,33,17,12,16,5,21,46,45.7,25,20,2,18,14,9,1
ITA-Serie A,2122,Fiorentina,Igor,BRA,DF,23,1998,24.9,53,31,34,16,3,30,40,75.0,10,37,19,18,31,46,4
ITA-Serie A,2122,Fiorentina,Jonathan Ikone,FRA,FW,23,1998,7.2,7,3,2,3,2,3,10,30.0,7,10,2,8,1,2,0
ITA-Serie A,2122,Fiorentina,José Callejón,ESP,FW,34,1987,14.4,15,6,6,6,3,13,31,41.9,18,6,0,6,3,1,1
ITA-Serie A,2122,Fiorentina,Krzysztof Piątek,POL,FW,26,1995,8.1,5,4,1,1,3,2,3,66.7,1,6,0,6,2,8,0
ITA-Serie A,2122,Fiorentina,Lorenzo Venuti,ITA,DF,26,1995,17.5,25,10,13,10,2,14,24,58.3,10,13,4,9,5,27,0
ITA-Serie A,2122,Fiorentina,Lucas Martínez Quarta,ARG,DF,25,1996,15.9,36,25,23,11,2,21,34,61.8,13,22,9,13,19,46,0
ITA-Serie A,2122,Fiorentina,Lucas Torreira,URU,MF,25,1996,24.4,37,29,13,21,3,18,40,45.0,22,18,1,17,26,18,0
ITA-Serie A,2122,Fiorentina,Marco Benassi,ITA,"DF,MF",26,1994,1.8,1,0,1,0,0,1,2,50.0,1,3,0,3,3,3,0
ITA-Serie A,2122,Fiorentina,Matija Nastasić,SRB,DF,28,1993,2.4,1,1,1,0,0,1,1,100.0,0,1,1,0,5,11,0
ITA-Serie A,2122,Fiorentina,Nicolás González,ARG,FW,23,1998,26.2,21,16,6,8,7,9,28,32.1,19,26,2,24,21,4,1
ITA-Serie A,2122,Fiorentina,Nikola Milenković,SRB,DF,23,1997,32.5,54,32,31,20,3,29,34,85.3,5,30,15,15,39,94,0
ITA-Serie A,2122,Fiorentina,Pietro Terracciano,ITA,GK,31,1990,31.8,0,0,0,0,0,0,4,0.0,4,0,0,0,2,20,1
ITA-Serie A,2122,Fiorentina,Riccardo Saponara,ITA,FW,29,1991,14.3,10,2,1,6,3,6,16,37.5,10,5,0,5,1,3,0
ITA-Serie A,2122,Fiorentina,Riccardo Sottil,ITA,FW,22,1999,13.8,9,4,4,4,1,3,9,33.3,6,3,0,3,1,2,0
ITA-Serie A,2122,Fiorentina,Sofyan Amrabat,MAR,MF,24,1996,10.5,24,13,9,13,2,11,19,57.9,8,25,8,17,5,6,1
ITA-Serie A,2122,Fiorentina,Youssef Maleh,MAR,MF,22,1998,11.3,27,16,8,13,6,12,25,48.0,13,14,1,13,6,2,0
ITA-Serie A,2122,Fiorentina,Álvaro Odriozola,ESP,DF,25,1995,19.3,25,15,12,6,7,15,32,46.9,17,17,6,11,8,25,2
ITA-Serie A,2122,Genoa,Abdoulaye Touré,GUI,MF,27,1994,4.8,12,4,3,8,1,5,11,45.5,6,6,1,5,4,6,0
ITA-Serie A,2122,Genoa,Adrian Šemper,CRO,GK,23,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2122,Genoa,Albert Guðmundsson,ISL,"FW,MF",24,1997,6.7,5,3,2,1,2,3,8,37.5,5,2,0,2,5,4,0
ITA-Serie A,2122,Genoa,Aleksander Buksa,POL,FW,18,2003,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,1,0
ITA-Serie A,2122,Genoa,Andrea Cambiaso,ITA,DF,21,2000,19.9,46,20,28,14,4,18,32,56.3,14,33,8,25,23,37,1
ITA-Serie A,2122,Genoa,Andrea Favilli,ITA,FW,24,1997,0.4,1,1,0,0,1,0,0,,0,0,0,0,0,2,0
ITA-Serie A,2122,Genoa,Andrea Masiello,ITA,DF,35,1986,5.7,5,3,4,1,0,4,7,57.1,3,8,4,4,11,20,1
