league,season,team,player,nationality,position,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
ITA-Serie A,2122,Genoa,Andrea Masiello,ITA,DF,35,1986,5.7,3,0,0,6,4,0,1,11,3,0,0,0,47,7,7,50.0
ITA-Serie A,2122,Genoa,Caleb Ekuban,GHA,"FW,MF",27,1994,19.1,2,0,0,22,32,2,13,9,12,0,0,0,78,36,51,41.4
ITA-Serie A,2122,Genoa,Davide Biraschi,ITA,DF,27,1994,10.3,4,0,0,12,11,1,14,16,16,0,0,0,53,21,16,56.8
ITA-Serie A,2122,Genoa,Domenico Criscito,ITA,DF,34,1986,18.0,4,0,0,21,27,0,50,39,21,0,0,0,126,18,17,51.4
ITA-Serie A,2122,Genoa,Felipe Caicedo,ECU,FW,32,1988,3.2,1,0,0,6,2,4,0,0,3,1,0,0,10,15,17,46.9
ITA-Serie A,2122,Genoa,Filippo Melegoni,ITA,"MF,FW",22,1999,10.9,1,0,0,15,20,2,34,11,12,0,0,0,72,5,20,20.0
ITA-Serie A,2122,Genoa,Flavio Junior Bianchi,ITA,"FW,MF",21,2000,3.5,0,0,0,5,4,0,1,0,2,0,0,0,9,3,5,37.5
ITA-Serie A,2122,Genoa,Francesco Cassata,ITA,MF,24,1997,0.1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
ITA-Serie A,2122,Genoa,Goran Pandev,MKD,"FW,MF",38,1983,9.4,1,0,0,5,37,6,3,2,0,0,0,0,41,6,19,24.0
ITA-Serie A,2122,Genoa,Hernani,BRA,"MF,FW",27,1994,7.6,0,0,0,12,10,2,15,13,10,0,1,0,43,13,22,37.1
