league,season,team,player,nationality,position,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
ITA-Serie A,2122,Fiorentina,Pietro Terracciano,ITA,GK,31,1990,31.8,1531,1250,276,106,0,5,0,0,0,0,0,0,1217,5,3
ITA-Serie A,2122,Fiorentina,Riccardo Saponara,ITA,FW,29,1991,14.3,555,545,8,5,0,13,28,2,1,0,0,0,427,2,19
ITA-Serie A,2122,Fiorentina,Riccardo Sottil,ITA,FW,22,1999,13.8,386,380,5,1,0,3,47,3,0,0,0,0,296,1,15
ITA-Serie A,2122,Fiorentina,Sofyan Amrabat,MAR,MF,24,1996,10.5,716,685,31,31,1,9,6,0,0,0,0,0,645,0,8
ITA-Serie A,2122,Fiorentina,Youssef Maleh,MAR,MF,22,1998,11.3,417,408,6,3,0,4,18,3,0,0,0,0,332,3,10
ITA-Serie A,2122,Fiorentina,Álvaro Odriozola,ESP,DF,25,1995,19.3,1030,877,152,11,0,1,52,139,2,0,1,0,885,1,28
ITA-Serie A,2122,Genoa,Abdoulaye Touré,GUI,MF,27,1994,4.8,172,170,1,1,0,0,3,0,0,0,0,0,130,1,4
ITA-Serie A,2122,Genoa,Adrian Šemper,CRO,GK,23,1998,1.0,37,29,8,1,0,0,0,0,0,0,0,0,20,0,0
ITA-Serie A,2122,Genoa,Albert Guðmundsson,ISL,"FW,MF",24,1997,6.7,239,207,32,8,0,0,41,8,15,5,7,0,155,0,10
ITA-Serie A,2122,Genoa,Aleksander Buksa,POL,FW,18,2003,0.7,15,15,0,0,1,0,0,0,0,0,0,0,5,0,1
ITA-Serie A,2122,Genoa,Andrea Cambiaso,ITA,DF,21,2000,19.9,890,728,160,6,1,2,66,153,1,0,1,0,690,2,31
ITA-Serie A,2122,Genoa,Andrea Favilli,ITA,FW,24,1997,0.4,6,4,2,0,0,0,0,0,0,0,0,0,5,0,1
ITA-Serie A,2122,Genoa,Andrea Masiello,ITA,DF,35,1986,5.7,313,302,10,5,0,2,1,0,0,0,0,0,276,1,2
ITA-Serie A,2122,Genoa,Caleb Ekuban,GHA,"FW,MF",27,1994,19.1,431,413,18,1,2,2,13,2,0,0,0,0,297,0,17
ITA-Serie A,2122,Genoa,Davide Biraschi,ITA,DF,27,1994,10.3,449,394,53,19,0,3,14,24,0,0,0,0,322,2,7
ITA-Serie A,2122,Genoa,Domenico Criscito,ITA,DF,34,1986,18.0,1008,836,161,52,2,6,50,92,7,3,4,0,774,11,13
ITA-Serie A,2122,Genoa,Felipe Caicedo,ECU,FW,32,1988,3.2,75,71,4,0,1,0,0,0,0,0,0,0,51,0,1
ITA-Serie A,2122,Genoa,Filippo Melegoni,ITA,"MF,FW",22,1999,10.9,347,323,22,6,3,0,34,3,12,5,5,0,234,2,19
ITA-Serie A,2122,Genoa,Flavio Junior Bianchi,ITA,"FW,MF",21,2000,3.5,77,75,2,0,0,0,1,0,1,0,1,0,60,0,0
