league,season,team,player,nationality,position,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
ITA-Serie A,2122,Bologna,Łukasz Skorupski,POL,GK,30,1991,36.0,944,1253,75.3,24480,17480,214,214,100.0,322,334,96.4,336,629,53.4,0,0.0,0.0,0,5,0,0,0
ITA-Serie A,2122,Cagliari,Adam Obert,SVK,"DF,MF",18,2002,3.0,69,106,65.1,1337,420,27,33,81.8,31,37,83.8,11,25,44.0,0,0.0,0.0,0,4,1,1,5
ITA-Serie A,2122,Cagliari,Alberto Grassi,ITA,MF,26,1995,24.2,840,1041,80.7,14201,3407,382,451,84.7,378,438,86.3,54,94,57.4,1,2.0,-1.0,15,65,6,1,76
ITA-Serie A,2122,Cagliari,Alessandro Deiola,ITA,MF,25,1995,23.7,590,774,76.2,10649,2511,251,325,77.2,245,295,83.1,72,96,75.0,1,1.4,-0.4,13,43,11,3,70
ITA-Serie A,2122,Cagliari,Alessio Cragno,ITA,GK,27,1994,35.0,775,1216,63.7,27429,23118,97,100,97.0,256,264,97.0,410,830,49.4,0,0.0,0.0,0,27,0,0,0
ITA-Serie A,2122,Cagliari,Andrea Carboni,ITA,DF,20,2001,24.6,809,1078,75.0,14516,5604,342,388,88.1,379,464,81.7,78,179,43.6,0,0.1,-0.1,4,66,15,4,97
ITA-Serie A,2122,Cagliari,Boris Radunović,SRB,GK,25,1996,3.0,55,100,55.0,1975,1599,10,10,100.0,18,18,100.0,27,72,37.5,0,0.0,0.0,0,3,0,0,0
ITA-Serie A,2122,Cagliari,Charalampos Lykogiannis,GRE,"DF,FW",27,1993,20.2,460,766,60.1,8461,3808,194,252,77.0,220,337,65.3,43,136,31.6,0,1.1,-1.1,12,33,9,7,34
ITA-Serie A,2122,Cagliari,Christian Oliva,URU,MF,25,1996,0.5,28,33,84.8,451,114,11,12,91.7,17,18,94.4,0,2,0.0,0,0.0,0.0,0,0,0,0,5
ITA-Serie A,2122,Cagliari,Christos Kourfalidis,GRE,"MF,FW",18,2002,0.2,8,13,61.5,123,20,3,4,75.0,4,5,80.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0
ITA-Serie A,2122,Cagliari,Dalbert Henrique,BRA,"DF,MF",27,1993,23.1,592,841,70.4,10861,3644,247,297,83.2,254,343,74.1,75,140,53.6,2,2.0,0.0,29,40,23,15,53
ITA-Serie A,2122,Cagliari,Damir Ceter,COL,FW,23,1997,0.1,1,2,50.0,49,0,0,1,0.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2122,Cagliari,Daniele Baselli,ITA,MF,29,1992,3.2,110,151,72.8,1828,716,60,73,82.2,33,41,80.5,13,28,46.4,1,0.7,0.3,8,11,4,1,14
ITA-Serie A,2122,Cagliari,Diego Farias,BRA,"MF,FW",31,1990,0.7,29,35,82.9,473,51,14,16,87.5,11,13,84.6,2,3,66.7,0,0.0,0.0,0,0,0,0,1
ITA-Serie A,2122,Cagliari,Diego Godín,URU,DF,35,1986,9.1,394,439,89.7,7917,3014,127,132,96.2,211,229,92.1,52,71,73.2,1,0.1,0.9,2,25,0,0,22
ITA-Serie A,2122,Cagliari,Edoardo Goldaniga,ITA,DF,27,1993,10.4,345,486,71.0,6682,3385,127,161,78.9,167,206,81.1,46,94,48.9,0,0.2,-0.2,4,21,4,1,35
ITA-Serie A,2122,Cagliari,Gabriele Zappa,ITA,DF,21,1999,12.7,454,609,74.5,7569,3354,246,284,86.6,158,206,76.7,45,84,53.6,0,0.7,-0.7,7,33,6,5,41
ITA-Serie A,2122,Cagliari,Gastón Pereiro,URU,"FW,MF",26,1995,10.8,237,372,63.7,3888,1147,118,166,71.1,80,117,68.4,27,55,49.1,2,1.9,0.1,20,24,12,5,42
ITA-Serie A,2122,Cagliari,Giorgio Altare,ITA,DF,22,1998,16.3,531,799,66.5,10947,4885,175,221,79.2,250,330,75.8,100,208,48.1,0,0.6,-0.6,8,50,6,3,71
ITA-Serie A,2122,Cagliari,Giovanni Simeone,ARG,FW,26,1995,0.1,2,4,50.0,26,10,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1
ITA-Serie A,2122,Cagliari,João Pedro,ITA,FW,29,1992,36.9,507,714,71.0,8729,1590,229,298,76.8,215,276,77.9,46,75,61.3,4,3.1,0.9,28,32,22,2,66
